Time_ms,Detrended_Displacement_nm
0.0,388.9644828660435
1.0,279.69867307353195
2.0,170.43286328102033
3.0,61.167053488508714
4.0,57.399910362663775
5.0,53.632767236818836
6.0,49.8656241109739
7.0,46.09848098512896
8.0,42.33133785928396
9.0,38.56419473343908
10.0,34.797051607594085
11.0,31.029908481749146
12.0,27.262765355904207
13.0,23.49562223005927
14.0,19.72847910421433
15.0,15.96133597836939
16.0,117.6928595191911
17.0,219.42438306001281
18.0,321.15590660083456
19.0,317.3887634749896
20.0,313.6216203491447
21.0,309.85447722329974
22.0,200.58866743078815
23.0,91.32285763827656
24.0,-17.94295215423506
25.0,-21.710095280080054
26.0,-25.477238405924936
27.0,-29.244381531769932
28.0,-33.01152465761487
29.0,-36.77866778345981
30.0,64.9528557573619
31.0,166.68437929818361
32.0,268.41590283900535
33.0,264.6487597131604
34.0,155.38294992064883
35.0,46.11714012813724
36.0,-63.14866966437438
37.0,-172.41414612355265
38.0,-281.67962258273093
39.0,-390.9450990419092
40.0,-500.2109088344208
41.0,-609.4767186269324
42.0,-718.742528419444
43.0,-722.5096715452889
44.0,-697.5044510347702
45.0,-672.4992305242515
46.0,-647.4940100137329
47.0,-622.4887895032142
48.0,-597.4835689926955
49.0,-572.4783484821768
50.0,-547.4731279716581
51.0,-522.4679074611395
52.0,-497.4626869506207
53.0,-472.45746644010205
54.0,-447.45224592958334
55.0,-451.21938905542834
56.0,-454.9865321812732
57.0,-458.75367530711816
58.0,-462.5208184329631
59.0,-466.28796155880804
60.0,-470.055104684653
61.0,-473.82224781049797
62.0,-477.5893909363429
63.0,-481.35653406218785
64.0,-485.1236771880328
65.0,-488.8908203138777
66.0,-492.65796343972266
67.0,-496.4251065655676
68.0,-500.1922496914126
69.0,-503.95939281725754
70.0,-507.7265359431025
71.0,-511.4936790689474
72.0,-515.2608221947924
73.0,-519.0279653206373
74.0,-522.7951084464822
75.0,-399.9640515723272
76.0,-277.1329946981721
77.0,-154.3019378240171
78.0,-31.47088094986202
79.0,91.36017592429306
80.0,193.09169946511477
81.0,294.8232230059365
82.0,396.5547465467582
83.0,417.1333726516825
84.0,437.7119987566068
85.0,458.2906248615311
86.0,478.8692509664554
87.0,499.44787707137965
88.0,520.026503176304
89.0,540.6051292812283
90.0,561.1837553861526
91.0,581.7623814910768
92.0,602.3410075960011
93.0,622.9196337009254
94.0,643.4982598058497
95.0,664.076885910774
96.0,660.3097427849291
97.0,656.5425996590841
98.0,652.7754565332391
99.0,459.11091340739415
100.0,265.4463702815492
101.0,71.78182715570438
102.0,-121.88271597014068
103.0,-315.5472590959855
104.0,-319.31440222183045
105.0,-155.38115922035428
106.0,8.552083781121894
107.0,172.48532678259807
108.0,336.41856978407424
109.0,500.3518127855504
110.0,664.2850557870265
111.0,668.3606943052117
112.0,446.3679042519684
113.0,224.3751141987251
114.0,2.382324145481789
115.0,-219.61046590776152
116.0,-441.60325596100495
117.0,-663.5960460142481
118.0,-885.5888360674916
119.0,-881.5131975493064
120.0,-696.5828447454069
121.0,-511.6524919415074
122.0,-326.7221391376079
123.0,-141.7917863337084
124.0,43.13856647019111
125.0,228.0689192740906
126.0,412.9992720779902
127.0,281.43391059617545
128.0,149.8685491143607
129.0,18.303187632545928
130.0,-113.26217384926883
131.0,-244.8275353310837
132.0,-376.39289681289836
133.0,-507.95825829471323
134.0,-503.88261977652803
135.0,-318.95226697262854
136.0,-134.02191416872904
137.0,50.908438635170455
138.0,235.83879143906995
139.0,420.76914424296945
140.0,605.6994970468689
141.0,790.6298498507686
142.0,596.8956133689537
143.0,403.161376887139
144.0,209.42714040532428
145.0,15.692903923509448
146.0,-178.04133255830538
147.0,-371.77556904012
148.0,-565.5098055219348
149.0,-759.2440420037495
150.0,-614.5036257077866
151.0,-469.76320941182354
152.0,-325.0227931158605
153.0,-180.28237681989754
154.0,-35.54196052393445
155.0,109.19845577202852
156.0,253.9388720679915
157.0,398.67928836395447
158.0,543.4197046599174
159.0,547.4953431781026
160.0,393.32314836295456
161.0,239.15095354780647
162.0,84.97875873265838
163.0,-69.19343608248971
164.0,-223.36563089763786
165.0,-377.5378257127859
166.0,-373.4621871946007
167.0,-369.3865486764155
168.0,-365.3109101582303
169.0,-202.98743830671174
170.0,-40.66396645519319
171.0,121.65950539632541
172.0,283.9829772478439
173.0,446.30644909936257
174.0,608.6299209508811
175.0,401.70839280239966
