Time_ms,Detrended_Displacement_nm
0.0,1354.5112108486442
1.0,1352.130195538558
2.0,1349.7491802284717
3.0,1347.3681649183854
4.0,1164.132435322585
5.0,980.8967057267844
6.0,797.660976130984
7.0,614.4252465351834
8.0,431.1895169393829
9.0,247.95378734358246
10.0,64.71805774778181
11.0,-95.91070756230445
12.0,-256.5394728723907
13.0,-417.168238182477
14.0,-577.7970034925632
15.0,-738.4257688026495
16.0,-899.0545341127358
17.0,-1059.683299422822
18.0,-1220.3120647329083
19.0,-1222.6930800429946
20.0,-1225.0740953530808
21.0,-1227.455110663167
22.0,-1229.8361259732533
23.0,-1161.8848079500062
24.0,-1093.933489926759
25.0,-1025.982171903512
26.0,-958.0308538802649
27.0,-890.0795358570176
28.0,-822.1282178337706
29.0,-754.1768998105235
30.0,-686.2255817872764
31.0,-618.2742637640292
32.0,-620.6552790741155
33.0,-464.78841938420175
34.0,-308.921559694288
35.0,-153.0547000043743
36.0,2.8121596855394273
37.0,158.6790193754532
38.0,314.5458790653669
39.0,470.41273875528054
40.0,626.2795984451943
41.0,623.8985831351081
42.0,621.5175678250218
43.0,777.3843025149356
44.0,933.2510372048494
45.0,1089.117771894763
46.0,1244.9845065846769
47.0,1242.6034912745906
48.0,1240.2224759645044
49.0,1237.8414606544181
50.0,1235.460445344332
51.0,1233.0794300342457
52.0,1230.6984147241594
53.0,1228.3173994140732
54.0,1225.936384103987
55.0,1223.5553687939007
56.0,1085.5333534838144
57.0,947.5113381737283
58.0,809.489322863642
59.0,671.4673075535558
60.0,533.4452922434695
61.0,395.42327693338336
62.0,257.40126162329705
63.0,255.0202463132108
64.0,71.78451671741033
65.0,-111.45121287839015
66.0,-294.6869424741906
67.0,-477.9226720699911
68.0,-661.1584016657916
69.0,-844.394131261592
70.0,-1027.6298608573927
71.0,-1135.5092095008124
72.0,-1243.388558144232
73.0,-1351.2679067876518
74.0,-1459.1475887644046
75.0,-1567.0272707411573
76.0,-1674.9069527179101
77.0,-1677.2879680279964
78.0,-1679.6689833380826
79.0,-1576.5513319815022
80.0,-1473.433680624922
81.0,-1370.3160292683417
82.0,-1372.697044578428
83.0,-1177.268309888514
84.0,-981.8395751986004
85.0,-786.4108405086866
86.0,-590.9821058187729
87.0,-395.5533711288591
88.0,-200.12463643894534
89.0,-4.695901749031464
90.0,190.7328329408823
91.0,346.599692630796
92.0,502.46655232070975
93.0,658.3334120106235
94.0,814.2002717005372
95.0,970.067131390451
96.0,1125.9339910803646
97.0,1281.8008507702784
98.0,1437.6677104601922
99.0,1435.286695150106
100.0,1432.9056798400197
101.0,1430.5246645299335
102.0,1533.6419825531805
103.0,1636.7593005764277
104.0,1739.8766185996747
105.0,1579.2478532895884
106.0,1418.6190879795022
107.0,1257.990322669416
108.0,1097.3615573593297
109.0,989.4818753825768
110.0,881.602193405824
111.0,773.722511429071
112.0,671.0019305826994
113.0,568.2813497363278
114.0,465.56076888995625
115.0,362.84018804358465
116.0,260.1196071972131
117.0,157.3990263508415
118.0,54.678445504470005
119.0,-48.04213534190171
120.0,-150.7627161882732
121.0,-253.4832970346448
122.0,-356.2038778810164
123.0,-458.924458727388
124.0,-561.6450395737596
125.0,-664.365620420131
126.0,-767.0862012665028
127.0,-869.8067821128744
128.0,-972.5273629592458
129.0,-1075.2479438056175
130.0,-1177.968524651989
131.0,-1280.6891054983607
132.0,-1280.91556142231
133.0,-1281.1420173462593
134.0,-1281.3684732702084
135.0,-1123.3470958608243
136.0,-965.3257184514403
137.0,-807.3043410420561
138.0,-649.282963632672
139.0,-491.26158622328785
140.0,-333.2402088139038
141.0,-333.4666647378531
142.0,-107.6248349475166
143.0,118.21699484281987
144.0,344.0588246331564
145.0,569.9006544234928
146.0,795.7424842138294
147.0,1021.5843140041659
148.0,1247.4261437945024
149.0,1247.1996878705531
150.0,1246.9732319466038
151.0,1373.3449760226547
152.0,1499.7167200987053
153.0,1626.0884641747562
154.0,1752.4602082508068
155.0,1878.8319523268576
156.0,1773.107163069575
157.0,1667.3823738122926
158.0,1561.65758455501
159.0,1455.9324619643942
160.0,1350.2073393737783
161.0,1244.4822167831624
162.0,1063.401046573499
163.0,882.3198763638353
164.0,701.2387061541718
165.0,520.1575359445083
166.0,339.07636573484467
167.0,157.99519552518132
168.0,-23.08597468448238
169.0,-23.31243060843167
170.0,-249.60717224666658
171.0,-475.9019138849015
172.0,-702.1966555231364
173.0,-928.4913971613713
174.0,-1154.7861387996063
175.0,-1381.0808804378412
176.0,-1607.375622076076
177.0,-1607.6020780000254
178.0,-1607.8285339239746
179.0,-1608.054989847924
180.0,-1608.281445771873
181.0,-1608.5079016958223
182.0,-1608.7343576197713
183.0,-1608.9608135437206
184.0,-1473.5462694676698
185.0,-1338.1317253916193
186.0,-1202.7171813155685
187.0,-1067.302637239518
188.0,-931.888093163467
189.0,-796.4735490874164
190.0,-661.0590050113656
191.0,-480.43074664960056
192.0,-299.8024882878355
193.0,-119.17422992607044
194.0,61.45402843569457
195.0,242.0822867974597
196.0,422.7105451592247
197.0,603.3388035209898
198.0,603.1123475970405
199.0,602.8858916730912
200.0,760.9072690824753
201.0,918.9286464918594
202.0,1076.9500239012436
203.0,1234.9714013106277
204.0,1392.9927787200118
205.0,1551.0141561293958
206.0,1550.7877002054465
207.0,1445.0625776148306
208.0,1339.3374550242147
209.0,1233.6123324335988
210.0,1233.3858765096497
211.0,1233.1594205857004
212.0,1089.0713282981148
213.0,944.9832360105293
214.0,800.8951437229437
215.0,656.807051435358
216.0,512.7189591477724
217.0,368.63086686018676
218.0,224.54277457260116
219.0,80.45468228501545
220.0,-63.633410002570145
221.0,-207.72150229015574
222.0,-351.80959457774134
223.0,-478.63445050169054
224.0,-605.4593064256397
225.0,-732.2841623495889
226.0,-859.1090182735381
227.0,-985.9338741974873
228.0,-986.1603301214363
229.0,-986.3867860453856
230.0,-1113.2114419693348
231.0,-1240.036097893284
232.0,-1366.8607538172332
233.0,-1493.6854097411826
234.0,-1620.5100656651318
235.0,-1494.138321589081
236.0,-1367.7665775130304
237.0,-1241.3948334369795
238.0,-1115.0230893609287
239.0,-988.6513452848781
240.0,-988.8778012088273
241.0,-830.8563571327766
242.0,-672.8349130567258
243.0,-514.8134689806752
244.0,-356.7920249046243
245.0,-198.77058082857366
246.0,-40.749136752522986
247.0,117.27230732352768
248.0,275.2937513995787
249.0,433.31519547562925
250.0,591.33663955168
251.0,781.0075836277308
252.0,970.6785277037817
253.0,1160.3494717798326
254.0,1350.0204158558834
255.0,1539.6913599319341
256.0,1539.4649040079848
257.0,1539.2384480840356
258.0,1539.0119921600863
259.0,1538.785536236137
260.0,1538.5590803121877
261.0,1538.3326243882384
262.0,1538.106168464289
263.0,1537.8797125403398
264.0,1342.8866412317752
265.0,1147.8935699232106
266.0,952.900498614646
267.0,757.9074273060814
268.0,562.9143559975169
269.0,367.92128468895226
270.0,172.92821338038766
271.0,-22.064857928176934
272.0,-217.05792923674153
273.0,-412.0510005453061
274.0,-607.0440718538707
275.0,-802.0371431624353
276.0,-997.0302144709999
277.0,-997.2566703949492
278.0,-997.4831263188983
279.0,-997.7095822428475
280.0,-1103.4343715001303
281.0,-1209.1591607574128
282.0,-1314.8839500146955
283.0,-1315.1104059386448
284.0,-1315.336861862594
285.0,-1315.5633177865434
286.0,-1210.2914403771592
287.0,-1105.0195629677748
288.0,-999.7476855583907
289.0,-999.97414148234
290.0,-1000.2005974062893
291.0,-842.1792199969052
292.0,-684.1578425875211
293.0,-526.136465178137
294.0,-368.1150877687529
295.0,-210.09371035936874
296.0,-52.072332949984684
297.0,-52.29878887393397
298.0,-52.52524479788326
299.0,105.4961326115008
300.0,263.51751002088486
301.0,421.53888743026897
302.0,579.560264839653
303.0,737.5816422490371
304.0,895.6030196584212
305.0,895.3765637344721
306.0,895.1501078105229
307.0,1000.4223185532403
308.0,1105.6945292959576
309.0,1210.9667400386752
310.0,1210.740284114726
311.0,1105.01516152411
312.0,999.2900389334941
313.0,893.5649163428781
314.0,787.8401270855956
315.0,682.1153378283129
316.0,576.3905485710304
317.0,576.1640926470811
318.0,575.9376367231321
319.0,575.7111807991828
320.0,575.4847248752335
321.0,575.2582689512842
322.0,448.43341302733495
323.0,321.6085571033857
324.0,194.7837011794365
325.0,67.95884525548723
326.0,-58.86601066846197
327.0,-59.09246659241103
328.0,-185.91712251636028
329.0,-312.74177844030953
330.0,-439.5664343642587
331.0,-566.391090288208
332.0,-693.2157462121572
333.0,-693.4422021361065
334.0,-693.6686580600558
335.0,-693.8951139840051
336.0,-694.1215699079542
337.0,-694.3480258319034
338.0,-800.0731484225194
339.0,-905.7982710131353
340.0,-1011.5233936037512
341.0,-1011.7498495277002
342.0,-1011.9763054516495
343.0,-906.7040947089321
344.0,-801.4318839662147
345.0,-696.1596732234973
346.0,-696.3861291474466
347.0,-696.6125850713959
348.0,-696.8390409953452
349.0,-697.0654969192944
350.0,-697.2919528432435
351.0,-697.5184087671928
352.0,-516.8901504054278
353.0,-336.2618920436628
354.0,-155.63363368189778
355.0,24.99462467986723
356.0,205.62288304163235
357.0,386.25114140339724
358.0,566.8793997651624
359.0,566.6529438412133
360.0,671.9248212505973
361.0,777.1966986599814
362.0,882.4685760693654
363.0,882.2421201454164
364.0,882.0156642214671
365.0,987.2878749641844
366.0,1092.5600857069019
367.0,1197.8322964496192
368.0,1127.2735071923366
369.0,1056.714717935054
370.0,986.1559286777715
371.0,915.5971394204889
372.0,845.0383501632064
373.0,774.4795609059238
374.0,703.9207716486412
375.0,633.3619823913587
376.0,562.8031931340761
377.0,562.576737210127
378.0,562.3502812861777
379.0,381.2691110765142
380.0,200.18794086685068
381.0,19.106770657187212
382.0,-161.97439955247637
383.0,-343.05556976213995
384.0,-524.1367399718033
385.0,-705.217910181467
386.0,-841.0853661054161
387.0,-976.9528220293654
388.0,-1112.8202779533146
389.0,-1248.6877338772638
390.0,-1384.5551898012131
391.0,-1520.422645725162
392.0,-1656.2901016491114
393.0,-1551.017890906394
394.0,-1445.7456801636768
395.0,-1340.4734694209594
396.0,-1340.6999253449087
397.0,-1198.503331268858
398.0,-1056.306737192807
399.0,-914.1101431167565
400.0,-771.9135490407056
401.0,-629.7169549646549
402.0,-487.52036088860416
403.0,-345.32376681255334
404.0,-203.12717273650242
405.0,-60.93057866045183
406.0,81.26601541559899
407.0,223.4626094916498
408.0,365.6592035677004
409.0,507.85579764375143
410.0,650.052391719802
411.0,792.2489857958528
412.0,934.4455798719039
413.0,1076.6421739479545
414.0,1218.838768024005
415.0,1361.0353621000556
416.0,1503.2319561761065
417.0,1608.5038335854906
418.0,1713.7757109948748
419.0,1819.047588404259
420.0,1818.8211324803096
421.0,1818.5946765563604
422.0,1637.5136492038398
423.0,1456.432621851319
424.0,1275.3515944987985
425.0,1094.2705671462777
426.0,913.1895397937571
427.0,732.1085124412366
428.0,551.0274850887158
429.0,369.94631487905235
430.0,188.86514466938883
431.0,7.7839744597253
432.0,-173.29719574993817
433.0,-354.37836595960175
434.0,-535.4595361692652
435.0,-716.5407063789287
436.0,-875.0149956362112
437.0,-1033.4892848934937
438.0,-1191.9635741507764
439.0,-1350.437863408059
440.0,-1508.9121526653416
441.0,-1667.386441922624
442.0,-1562.1142311799067
443.0,-1456.8420204371894
444.0,-1351.569809694472
445.0,-1351.7962656184213
446.0,-1352.0227215423706
447.0,-1352.24917746632
448.0,-1352.4756333902692
449.0,-1352.7020893142183
450.0,-1158.162006776629
451.0,-963.6219242390398
452.0,-769.0818417014505
453.0,-574.5417591638612
454.0,-380.0016766262719
455.0,-185.46159408868266
456.0,9.078488448906455
457.0,203.6185709864958
458.0,398.1586535240849
459.0,592.6987360616745
460.0,787.2388185992634
461.0,981.7789011368529
462.0,1176.3189836744418
463.0,1176.0925277504925
464.0,1175.8660718265432
465.0,1175.639615902594
466.0,1143.7635599786447
467.0,1111.8875040546955
468.0,1080.0114481307462
469.0,1048.135392206797
470.0,1016.2593362828477
471.0,984.3832803588986
472.0,952.5072244349493
473.0,920.631168511
474.0,888.7551125870508
475.0,856.8790566631016
476.0,856.6526007391525
477.0,750.9278114818699
478.0,645.2030222245872
479.0,539.4782329673046
480.0,358.39706275764115
481.0,177.31589254797763
482.0,-3.7652776616859
483.0,-184.84644787134937
484.0,-365.92761808101295
485.0,-547.0087882906764
486.0,-728.0899585003399
487.0,-854.9146144242892
488.0,-981.7392703482385
489.0,-1108.5639262721877
490.0,-1235.3885821961371
491.0,-1362.2132381200863
492.0,-1362.4396940440356
493.0,-1257.1678166346514
494.0,-1151.895939225267
495.0,-1046.624061815883
496.0,-1046.8505177398322
497.0,-1152.575306997115
498.0,-1258.3000962543974
499.0,-1364.0248855116802
500.0,-1228.6103414356294
501.0,-1093.1957973595786
502.0,-957.7812532835279
503.0,-822.3667092074771
504.0,-686.9521651314263
505.0,-551.5376210553757
506.0,-416.1230769793249
507.0,-289.7513329032741
508.0,-163.3795888272233
509.0,-37.00784475117257
510.0,89.36389932487828
511.0,215.735643400929
512.0,215.50918747697995
513.0,215.28273155303066
514.0,215.05627562908137
515.0,425.82698637179874
516.0,636.5976971145162
517.0,847.3684078572336
518.0,1058.139118599951
519.0,1268.9098293426687
520.0,1479.680540085386
521.0,1479.4540841614366
522.0,1479.2276282374874
523.0,1373.5025056468714
524.0,1267.7773830562555
525.0,1162.0522604656396
526.0,1267.3244712083572
527.0,1372.5966819510745
528.0,1477.868892693792
529.0,1372.1437701031762
530.0,1266.4186475125603
531.0,1160.6935249219443
532.0,975.8445689979951
533.0,790.9956130740459
534.0,606.1466571500966
535.0,421.2977012261474
536.0,236.44874530219818
537.0,51.59978937824894
538.0,-133.2491665457003
539.0,-318.0981224696495
540.0,-502.94707839359876
541.0,-687.796034317548
542.0,-872.6449902414972
543.0,-1057.4939461654465
544.0,-1057.7204020893955
545.0,-1057.9468580133448
546.0,-1216.421063937294
547.0,-1374.8952698612434
548.0,-1533.3694757851924
549.0,-1691.8436817091417
550.0,-1586.5714709664244
551.0,-1481.2992602237073
552.0,-1376.02704948099
553.0,-1270.7551720716058
554.0,-1165.4832946622214
555.0,-1060.2114172528372
556.0,-1060.4378731767865
557.0,-925.0233291007357
558.0,-789.608785024685
559.0,-654.1942409486343
560.0,-518.7796968725835
561.0,-383.3651527965327
562.0,-247.95060872048202
563.0,-112.53606464443124
564.0,-112.76252056838052
565.0,84.82089850767025
566.0,282.404317583721
567.0,479.9877366597718
568.0,677.5711557358226
569.0,875.1545748118733
570.0,1072.7379938879242
571.0,1270.3214129639748
572.0,1467.9048320400257
573.0,1467.6783761160764
574.0,1467.451920192127
575.0,1467.2254642681778
576.0,1466.9990083442285
577.0,1387.6485524202792
578.0,1308.2980964963301
579.0,1228.9476405723808
580.0,1149.5971846484315
581.0,1070.2467287244822
582.0,990.8962728005331
583.0,911.5458168765838
584.0,832.1953609526346
585.0,685.8939819517623
586.0,539.59260295089
587.0,393.29122395001764
588.0,246.98984494914532
589.0,100.688465948273
590.0,-45.61291305259931
591.0,-191.9142920534715
592.0,-338.21567105434394
593.0,-484.51705005521615
594.0,-630.8184290560886
595.0,-777.1198080569608
596.0,-923.4211870578332
597.0,-1069.7225660587053
598.0,-1175.447355315988
599.0,-1281.1721445732705
600.0,-1386.8969338305533
601.0,-1387.1233897545026
602.0,-1387.3498456784519
603.0,-1387.576301602401
604.0,-1387.8027575263502
605.0,-1229.7813801169661
606.0,-1071.760002707582
607.0,-913.7386252981979
608.0,-755.7172478888139
609.0,-597.6958704794297
610.0,-439.6744930700456
611.0,-439.9009489939949
612.0,-440.127404917944
613.0,-440.35386084189327
614.0,-242.7705667658425
615.0,-45.18727268979171
616.0,152.396021386259
617.0,349.97931546230984
618.0,547.5626095383607
619.0,745.1459036144113
620.0,942.7291976904621
621.0,1140.312491766513
622.0,1140.0860358425637
623.0,1139.8595799186144
624.0,1139.633123994665
625.0,1139.406668070716
626.0,1139.1802121467667
627.0,1045.8668150463468
628.0,952.5534179459271
629.0,859.2400208455072
630.0,765.9266237450875
631.0,672.6132266446675
632.0,579.2998295442477
633.0,485.986432443828
634.0,392.6730353434082
635.0,299.35963824298824
636.0,206.04624114256842
637.0,112.7328440421486
638.0,19.419446941728665
639.0,-73.89395015869104
640.0,-167.20734725911075
641.0,-260.5207443595307
642.0,-353.8341414599504
643.0,-447.1475385603703
644.0,-447.3739944843196
645.0,-605.8482837416022
646.0,-764.3225729988848
647.0,-922.7968622561674
648.0,-1081.27115151345
649.0,-1239.7454407707328
650.0,-1398.2197300280152
651.0,-1398.4461859519645
652.0,-1293.1743085425803
653.0,-1187.902431133196
654.0,-1082.6305537238118
655.0,-1082.857009647761
656.0,-1083.0834655717103
657.0,-1083.3099214956594
658.0,-978.0377107529421
659.0,-872.7655000102247
660.0,-767.4932892675074
661.0,-662.22107852479
662.0,-556.9488677820726
663.0,-451.6766570393552
664.0,-451.90311296330447
665.0,-452.12956888725375
666.0,-452.3560248112028
667.0,-271.7279093065806
668.0,-91.09979380195841
669.0,89.52832170266379
670.0,270.156437207286
671.0,450.7845527119082
672.0,631.4126682165304
673.0,812.0407837211525
674.0,811.8143277972032
675.0,938.186271873254
676.0,1064.558215949305
677.0,1190.9301600253557
678.0,1317.3021041014065
679.0,1443.6740481774573
680.0,1443.447592253508
681.0,1443.2211363295587
682.0,1442.9946804056094
683.0,1442.7682244816601
684.0,1284.293868557711
685.0,1125.8195126337616
686.0,967.3451567098125
687.0,808.8708007858631
688.0,650.396444861914
689.0,491.9220889379649
690.0,333.44773301401574
691.0,174.97337709006615
692.0,16.499021166117018
693.0,-141.97533475783212
694.0,-142.2017906817814
695.0,-205.72734660573065
696.0,-269.2529025296799
697.0,-332.7784584536291
698.0,-396.30401437757837
699.0,-459.8295703015276
700.0,-523.3551262254769
701.0,-586.8806821494261
702.0,-650.4062380733753
703.0,-713.9317939973246
704.0,-777.4573499212738
705.0,-777.6838058452231
706.0,-883.4089284358389
707.0,-989.1340510264547
708.0,-1094.8591736170706
709.0,-989.5869628743532
710.0,-884.3147521316358
711.0,-779.0425413889184
712.0,-779.2689973128677
713.0,-779.495453236817
714.0,-653.1237091607662
715.0,-526.7519650847155
716.0,-400.3802210086647
717.0,-274.0084769326139
718.0,-147.63673285656319
719.0,-147.86318878051247
720.0,-4.227917431734426
721.0,139.40735391704362
722.0,283.0426252658216
723.0,426.6778966145997
724.0,570.3131679633776
725.0,713.9484393121556
726.0,857.5837106609337
727.0,1001.2189820097119
728.0,1144.8542533584898
729.0,1288.4895247072677
730.0,1432.1247960560459
731.0,1431.8983401320966
732.0,1431.6718842081473
733.0,1325.9467616175314
734.0,1220.2216390269157
735.0,1114.4965164362998
736.0,1114.2700605123505
737.0,1114.0436045884012
738.0,955.5693153311187
739.0,797.0950260738362
740.0,638.6207368165535
741.0,480.1464475592711
742.0,321.6721583019885
743.0,163.19786904470595
744.0,36.37321312075669
745.0,-90.45144280319258
746.0,-217.2760987271418
747.0,-344.1007546510911
748.0,-470.92541057504036
749.0,-576.6505331656562
750.0,-682.375655756272
751.0,-788.1007783468879
752.0,-788.3272342708372
753.0,-788.5536901947864
754.0,-788.7801461187357
755.0,-789.006602042685
756.0,-789.2330579666341
757.0,-789.4595138905834
758.0,-789.6859698145327
759.0,-789.9124257384819
760.0,-684.6402149957645
761.0,-579.3680042530472
762.0,-474.0957935103297
763.0,-474.322249434279
764.0,-474.5487053582283
765.0,-580.2738279488441
766.0,-685.9989505394599
767.0,-791.7240731300758
768.0,-633.7027790540251
769.0,-475.68148497797426
770.0,-317.6601909019235
771.0,-159.63889682587273
772.0,-159.86535274982202
773.0,-54.593142007104575
774.0,50.67906873561287
775.0,155.95127947833032
776.0,282.32302355438105
777.0,408.69476763043184
778.0,535.0665117064825
779.0,661.4382557825334
780.0,787.8099998585841
781.0,893.0822106013015
782.0,998.354421344019
783.0,1103.6266320867364
784.0,1103.4001761627871
785.0,1103.1737202388379
786.0,1102.9472643148886
787.0,1102.7208083909395
788.0,1102.4943524669902
789.0,1102.267896543041
790.0,996.542773952425
791.0,890.8176513618092
792.0,785.0925287711933
