Time_ms,Detrended_Displacement_nm
0.0,-1841.1856109863775
1.0,-1841.0161971413827
2.0,-1840.8467832963881
3.0,-2157.1733694513932
4.0,-2157.0039556063984
5.0,-2473.3295417614036
6.0,-2789.6561279164093
7.0,-2789.4867140714146
8.0,-3105.8133002264194
9.0,-3422.138886381425
10.0,-3421.9694725364307
11.0,-3738.2960586914355
12.0,-4054.6226448464404
13.0,-4370.948231001446
14.0,-4370.778817156452
15.0,-4687.105403311456
16.0,-5003.431989466462
17.0,-5003.2625756214675
18.0,-5003.093161776473
19.0,-4686.427747931478
20.0,-4686.258334086483
21.0,-4686.088920241488
22.0,-4685.9195063964935
23.0,-4685.750092551499
24.0,-4685.580678706504
25.0,-4685.411264861509
26.0,-4368.745851016515
27.0,-4052.0814371715196
28.0,-4051.912023326525
29.0,-3735.2466094815304
30.0,-3735.077195636536
31.0,-3418.411781791541
32.0,-3418.2423679465464
33.0,-3418.0729541015517
34.0,-3101.408540256557
35.0,-2784.743126411562
36.0,-2784.5737125665673
37.0,-2467.9082987215725
38.0,-2467.738884876578
39.0,-2151.0744710315835
40.0,-2150.9050571865887
41.0,-2150.735643341594
42.0,-2150.566229496599
43.0,-1833.9008156516045
44.0,-1833.7314018066097
45.0,-1833.561987961615
46.0,-1833.3925741166204
47.0,-1833.2231602716256
48.0,-2149.549746426631
49.0,-2465.875332581636
50.0,-2465.7059187366413
51.0,-2465.5365048916465
52.0,-2465.3670910466517
53.0,-2465.1976772016574
54.0,-2781.5242633566627
55.0,-3097.8508495116675
56.0,-3414.176435666673
57.0,-3414.007021821679
58.0,-3730.3336079766837
59.0,-3730.164194131689
60.0,-3729.994780286694
61.0,-4046.3213664416994
62.0,-4046.1519525967046
63.0,-4362.47753875171
64.0,-4362.308124906715
65.0,-4678.634711061721
66.0,-4994.961297216726
67.0,-4994.791883371731
68.0,-4994.6224695267365
69.0,-4994.453055681742
70.0,-4994.283641836747
71.0,-4994.114227991752
72.0,-4993.944814146757
73.0,-4993.775400301763
74.0,-4993.605986456768
75.0,-4993.436572611773
76.0,-4993.267158766778
77.0,-4676.601744921783
78.0,-4359.936331076789
79.0,-4043.2719172317943
80.0,-3726.6065033868
81.0,-3726.437089541805
82.0,-3409.7716756968102
83.0,-3093.1072618518156
84.0,-3092.937848006821
85.0,-2776.2724341618264
86.0,-2143.1120203168316
87.0,-2142.942606471837
88.0,-1826.277192626842
89.0,-1826.1077787818474
90.0,-1825.9383649368526
91.0,-1509.272951091858
