Time_ms,Delta_Displacement_nm
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.000
9.000,0.000
10.000,-316.496
11.000,0.000
12.000,0.000
13.000,0.000
14.000,0.000
15.000,0.000
16.000,0.000
17.000,0.000
18.000,316.496
19.000,316.496
20.000,316.496
21.000,316.496
22.000,316.496
23.000,632.991
24.000,632.991
25.000,632.991
26.000,632.991
27.000,632.991
28.000,949.487
29.000,949.487
30.000,1265.983
31.000,1265.983
32.000,1265.983
33.000,1265.983
34.000,1265.983
35.000,1265.983
36.000,1265.983
37.000,1265.983
38.000,1265.983
39.000,1582.478
40.000,1582.478
41.000,1582.478
42.000,1265.983
43.000,1265.983
44.000,1265.983
45.000,1265.983
46.000,1265.983
47.000,949.487
48.000,949.487
49.000,949.487
50.000,632.991
51.000,632.991
52.000,316.496
53.000,316.496
54.000,316.496
55.000,0.000
56.000,0.000
57.000,0.000
58.000,0.000
59.000,-316.496
60.000,-316.496
61.000,-316.496
62.000,-316.496
63.000,-316.496
64.000,-316.496
65.000,-316.496
66.000,-316.496
67.000,-316.496
68.000,0.000
69.000,0.000
70.000,316.496
71.000,316.496
72.000,316.496
73.000,632.991
74.000,632.991
75.000,632.991
76.000,632.991
77.000,949.487
78.000,949.487
79.000,1265.983
80.000,1265.983
81.000,1265.983
82.000,1265.983
83.000,1582.478
84.000,1582.478
85.000,1582.478
86.000,1582.478
87.000,1582.478
88.000,1582.478
89.000,1582.478
90.000,1582.478
91.000,1582.478
92.000,1265.983
93.000,1265.983
94.000,1265.983
95.000,949.487
96.000,949.487
97.000,949.487
98.000,632.991
99.000,632.991
100.000,632.991
101.000,316.496
102.000,316.496
103.000,316.496
104.000,0.000
105.000,0.000
106.000,0.000
107.000,0.000
108.000,0.000
109.000,0.000
110.000,0.000
111.000,0.000
112.000,0.000
113.000,0.000
114.000,0.000
115.000,0.000
116.000,0.000
117.000,0.000
118.000,0.000
119.000,316.496
120.000,316.496
121.000,316.496
122.000,316.496
123.000,316.496
124.000,316.496
125.000,316.496
126.000,316.496
127.000,316.496
128.000,316.496
129.000,316.496
130.000,632.991
131.000,632.991
132.000,632.991
133.000,632.991
134.000,632.991
135.000,632.991
136.000,632.991
137.000,632.991
138.000,632.991
139.000,632.991
140.000,949.487
141.000,949.487
142.000,632.991
143.000,632.991
144.000,632.991
145.000,949.487
146.000,949.487
147.000,949.487
148.000,949.487
149.000,632.991
150.000,632.991
151.000,632.991
152.000,632.991
153.000,632.991
154.000,316.496
155.000,316.496
156.000,316.496
157.000,316.496
158.000,316.496
159.000,316.496
160.000,316.496
161.000,316.496
162.000,316.496
163.000,316.496
164.000,316.496
165.000,316.496
166.000,316.496
167.000,316.496
168.000,0.000
169.000,0.000
170.000,0.000
171.000,0.000
172.000,316.496
173.000,316.496
174.000,316.496
175.000,316.496
176.000,0.000
177.000,0.000
178.000,0.000
179.000,316.496
180.000,316.496
