Time_ms,Detrended_Displacement_nm
0.0,-1849.2628107359617
1.0,-1847.6896498177637
2.0,-1846.1164888995659
3.0,-1844.5433279813678
4.0,-1526.4741670631702
5.0,-1524.9010061449721
6.0,-1206.8328452267742
7.0,-1205.2596843085762
8.0,-1203.6865233903782
9.0,-1202.1133624721804
10.0,-884.0442015539824
11.0,-882.4710406357846
12.0,-564.4018797175866
13.0,-562.8287187993885
14.0,-561.2555578811907
15.0,-559.6823969629927
16.0,-558.1092360447949
17.0,-556.5360751265969
18.0,-554.9629142083988
19.0,-553.389753290201
20.0,-235.3215923720029
21.0,-233.7484314538051
22.0,-232.17527053560707
23.0,-230.60210961740927
24.0,-229.02894869921124
25.0,-227.4557877810132
26.0,-225.8826268628154
27.0,-224.3094659446174
28.0,-222.7363050264196
29.0,-537.6581441082217
30.0,-536.0849831900239
31.0,-534.5118222718258
32.0,-849.4346613536278
33.0,-847.86150043543
34.0,-846.288339517232
35.0,-844.7151785990342
36.0,-843.1420176808361
37.0,-841.5688567626381
38.0,-839.9956958444403
39.0,-838.4225349262423
40.0,-1153.3453740080445
41.0,-1151.7722130898464
42.0,-1150.1990521716484
43.0,-1465.1208912534507
44.0,-1463.5477303352527
45.0,-1461.9745694170547
46.0,-1460.4014084988567
47.0,-1458.828247580659
48.0,-1457.255086662461
49.0,-1139.186925744263
50.0,-1137.613764826065
51.0,-1452.535603907867
52.0,-1450.9624429896694
53.0,-1449.3892820714714
54.0,-1131.3211211532735
55.0,-1129.7479602350754
56.0,-1128.1747993168774
57.0,-1126.6016383986796
58.0,-1125.0284774804816
59.0,-1123.4553165622838
60.0,-1121.8821556440857
61.0,-1120.3089947258877
62.0,-1118.73583380769
63.0,-1117.162672889492
64.0,-1115.589511971294
65.0,-1114.016351053096
66.0,-1112.443190134898
67.0,-1110.8700292167002
68.0,-1109.2968682985022
69.0,-1107.7237073803044
70.0,-1106.1505464621064
71.0,-1104.5773855439086
72.0,-1103.0042246257105
73.0,-1101.4310637075125
74.0,-1099.8579027893147
75.0,-781.7887418711167
76.0,-780.2155809529189
77.0,-778.6424200347209
78.0,-777.0692591165231
79.0,-775.4960981983251
80.0,-457.42693728012705
81.0,-455.85377636192925
82.0,-454.2806154437312
83.0,-452.7074545255334
84.0,-451.1342936073354
85.0,-449.56113268913737
86.0,-764.4839717709395
87.0,-762.9108108527415
88.0,-761.3376499345437
89.0,-759.7644890163457
90.0,-758.1913280981477
91.0,-756.6181671799499
92.0,-755.0450062617518
93.0,-753.471845343554
94.0,-1068.394684425356
95.0,-1066.8215235071582
96.0,-1065.2483625889602
97.0,-1063.6752016707624
98.0,-1062.1020407525643
99.0,-1377.0238798343662
100.0,-1375.4507189161686
101.0,-1373.8775579979706
102.0,-1688.8003970797727
103.0,-1687.2272361615746
104.0,-1685.6540752433766
105.0,-1367.584914325179
106.0,-1366.011753406981
107.0,-1364.438592488783
108.0,-1679.361431570585
109.0,-1677.788270652387
110.0,-1676.2151097341891
111.0,-1674.641948815991
112.0,-1673.0687878977933
